,Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
0,1950.0,-1.5,-1.3,-1.2,-1.2,-1.1,-0.9,-0.5,-0.4,-0.4,-0.4,-0.6,-0.8
1,1951.0,-0.8,-0.5,-0.2,0.2,0.4,0.6,0.7,0.9,1.0,1.2,1.0,0.8
2,1952.0,0.5,0.4,0.3,0.3,0.2,0.0,-0.1,0.0,0.2,0.1,0.0,0.1
3,1953.0,0.4,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8
4,1954.0,0.8,0.5,0.0,-0.4,-0.5,-0.5,-0.6,-0.8,-0.9,-0.8,-0.7,-0.7
5,1955.0,-0.7,-0.6,-0.7,-0.8,-0.8,-0.7,-0.7,-0.7,-1.1,-1.4,-1.7,-1.5
6,1956.0,-1.1,-0.8,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4
7,1957.0,-0.2,0.1,0.4,0.7,0.9,1.1,1.3,1.3,1.3,1.4,1.5,1.7
8,1958.0,1.8,1.7,1.3,0.9,0.7,0.6,0.6,0.4,0.4,0.4,0.5,0.6
9,1959.0,0.6,0.6,0.5,0.3,0.2,-0.1,-0.2,-0.3,-0.1,0.0,0.0,0.0
11,1960.0,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.1,0.2,0.3,0.2,0.1,0.1
12,1961.0,0.0,0.0,0.0,0.1,0.2,0.3,0.1,-0.1,-0.3,-0.3,-0.2,-0.2
13,1962.0,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,0.0,-0.1,-0.1,-0.2,-0.3,-0.4
14,1963.0,-0.4,-0.2,0.2,0.3,0.3,0.5,0.9,1.1,1.2,1.3,1.4,1.3
15,1964.0,1.1,0.6,0.1,-0.3,-0.6,-0.6,-0.6,-0.7,-0.8,-0.8,-0.8,-0.8
16,1965.0,-0.6,-0.3,-0.1,0.2,0.5,0.8,1.2,1.5,1.9,2.0,2.0,1.7
17,1966.0,1.4,1.2,1.0,0.7,0.4,0.2,0.2,0.1,-0.1,-0.1,-0.2,-0.3
18,1967.0,-0.4,-0.5,-0.5,-0.4,-0.2,0.0,0.0,-0.2,-0.3,-0.4,-0.3,-0.4
19,1968.0,-0.6,-0.7,-0.6,-0.4,0.0,0.3,0.6,0.5,0.4,0.5,0.7,1.0
20,1969.0,1.1,1.1,0.9,0.8,0.6,0.4,0.4,0.5,0.8,0.9,0.8,0.6
22,1970.0,0.5,0.3,0.3,0.2,0.0,-0.3,-0.6,-0.8,-0.8,-0.7,-0.9,-1.1
23,1971.0,-1.4,-1.4,-1.1,-0.8,-0.7,-0.7,-0.8,-0.8,-0.8,-0.9,-1.0,-0.9
24,1972.0,-0.7,-0.4,0.1,0.4,0.7,0.9,1.1,1.4,1.6,1.8,2.1,2.1
25,1973.0,1.8,1.2,0.5,-0.1,-0.5,-0.9,-1.1,-1.3,-1.5,-1.7,-1.9,-2.0
26,1974.0,-1.8,-1.6,-1.2,-1.0,-0.9,-0.8,-0.5,-0.4,-0.4,-0.6,-0.8,-0.6
27,1975.0,-0.5,-0.6,-0.7,-0.7,-0.8,-1.0,-1.1,-1.2,-1.4,-1.4,-1.6,-1.7
28,1976.0,-1.6,-1.2,-0.7,-0.5,-0.3,0.0,0.2,0.4,0.6,0.8,0.9,0.8
29,1977.0,0.7,0.6,0.3,0.2,0.2,0.3,0.4,0.4,0.6,0.7,0.8,0.8
30,1978.0,0.7,0.4,0.1,-0.2,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.1,0.0
31,1979.0,0.0,0.1,0.2,0.3,0.2,0.0,0.0,0.2,0.3,0.5,0.5,0.6
33,1980.0,0.6,0.5,0.3,0.4,0.5,0.5,0.3,0.0,-0.1,0.0,0.1,0.0
34,1981.0,-0.3,-0.5,-0.5,-0.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.2,-0.1
